"MSM (Imputed) Living with Diagnosed HIV Infection by County and Current Age, WA State, 2016",,,,,,,,,,,
,Current Age as of Year-end 2016,,,,,,,,,,
County,0 - 17,18 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60+,Total
ADAMS CO.,0,1,1,0,1,0,2,2,0,0,7
ASOTIN CO.,0,0,1,1,0,2,4,5,0,2,15
BENTON CO.,0,2,7.5,10,7.7,8.6,11,5,11,10.9,73.7
CHELAN CO.,0,0,4.7,2.8,2,4.9,6.1,4.5,2,4.9,31.9
CLALLAM CO.,0,1,4,4,0,4,5,10,9,17,54
CLARK CO.,1,5,9,34.9,39,41.9,69.6,97.6,71.3,98.1,467.4
COLUMBIA CO.,0,0,0,0,0,0,1,2,0,0.8,3.8
COWLITZ CO.,0,0,4,2,4,7,13,14,7.9,15.6,67.5
DOUGLAS CO.,0,0,1,1,3.1,1.2,1,1,0.9,0,9.2
FERRY CO.,0,0,0,0,0,0,1,0,0,1,2
FRANKLIN CO.,0,0,1.9,7,3.9,7.7,6,6,2,4.5,39
GARFIELD CO.,0,0,0,0,0,1,0,0,0,0,1
GRANT CO.,0,0,0,2,1,6,5.5,6.4,3,1,24.9
GRAYS HARBOR CO.,0,1,2,1,8,3,8,9.9,9,9,50.9
ISLAND CO.,0,2,3,2.2,3,5,5.9,14.9,7.6,14,57.6
JEFFERSON CO.,0,0,1,3,0,1,4,4,4,12,29
KING CO.,1,83.4,301.2,438.3,539.1,573.1,858.5,1020.9,774,841.5,5431
KITSAP CO.,0,5,11.8,17,12,15,32,49.6,41.4,49.8,233.6
KITTITAS CO.,0,1,0,0,1,2,3,3,2,5,17
KLICKITAT CO.,0,0,0,0,0,0,2,1,2,2.9,7.9
LEWIS CO.,0,1,0,2.7,2,5,5,8.9,3,7,34.6
LINCOLN CO.,0,0,0,0,1,1,0,1,3,0.9,6.9
MASON CO.,0,0,4.9,3,3.7,5.9,6,9,10.5,4,47
OKANOGAN CO.,0,0,1,2.8,1,1,2,1,2.9,3,14.7
PACIFIC CO.,0,0,0,0,1,2,2,3,4,8,20
PEND OREILLE CO.,0,0,0,0,2,1,0.7,4,1,1,9.7
PIERCE CO.,1,27.5,78.5,90.5,83,106.2,136.3,144.9,119.2,133.7,920.8
SAN JUAN CO.,0,0,0,0,0,0,2,1,3,6.9,12.9
SKAGIT CO.,0,2,5,7.7,8.5,5,10.7,15,5,8,66.9
SKAMANIA CO.,0,0,0,0,0,1,1,1,0,0,3
SNOHOMISH CO.,1,17,26,60.4,47,74.2,117.4,150.5,92.4,97.2,683.1
SPOKANE CO.,0,10,19,28.7,40.4,43.8,55.3,72.8,64.7,72.7,407.4
STEVENS CO.,0,0,0,1,0,1,3,1.8,0.9,5,12.7
THURSTON CO.,0,1,6,11,21.1,9.6,22.7,48,33,35.9,188.3
WAHKIAKUM CO.,0,0,0,0,0,0,0,0,1,2,3
WALLA WALLA CO.,0,1,1,1.2,0,2.5,5,10.7,5,5,31.4
WHATCOM CO.,0,5,1,6,6.9,7.7,20.9,21.2,17.9,44.6,131.2
WHITMAN CO.,0,1,1,0,0,2,2,1,1,2,10
YAKIMA CO.,0,2.8,7.8,9,17.9,20.6,24,27.3,19.3,23.7,152.4
Total,4,169.7,504.3,750.2,860.3,972.9,1454.6,1778.9,1333.9,1550.6,9379.4